x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.085556,-0.947815,0.063797,0.953805,36292.258886,2001-01-01 10:04:52.259 +0000
0.080017,-0.963593,0.111435,0.973309,36292.249090,2001-01-01 10:04:52.249 +0000
0.064972,-0.965057,0.069946,0.969768,36292.239264,2001-01-01 10:04:52.239 +0000
0.071884,-0.964859,0.034943,0.968164,36292.229467,2001-01-01 10:04:52.229 +0000
0.096756,-0.964050,0.026779,0.969264,36292.219671,2001-01-01 10:04:52.220 +0000
0.123840,-0.973175,0.011948,0.981096,36292.209875,2001-01-01 10:04:52.210 +0000
0.133774,-0.966782,0.031693,0.976507,36292.200048,2001-01-01 10:04:52.200 +0000
0.114120,-0.959824,0.029633,0.967038,36292.190252,2001-01-01 10:04:52.190 +0000
0.095230,-0.964081,0.001740,0.968774,36292.180456,2001-01-01 10:04:52.180 +0000
0.079910,-0.965500,0.021149,0.969032,36292.170660,2001-01-01 10:04:52.171 +0000
0.093002,-0.972977,0.067032,0.979707,36292.160833,2001-01-01 10:04:52.161 +0000
0.118118,-0.989441,0.121429,1.003838,36292.151037,2001-01-01 10:04:52.151 +0000
0.147461,-0.995544,0.198471,1.025790,36292.141241,2001-01-01 10:04:52.141 +0000
0.184647,-1.004868,0.261841,1.054710,36292.131445,2001-01-01 10:04:52.131 +0000
0.216080,-1.014740,0.270065,1.072065,36292.121618,2001-01-01 10:04:52.122 +0000
0.256424,-1.014435,0.235611,1.072541,36292.111822,2001-01-01 10:04:52.112 +0000
0.293777,-1.020508,0.203506,1.081275,36292.102026,2001-01-01 10:04:52.102 +0000
0.317093,-0.997467,0.176376,1.061413,36292.092199,2001-01-01 10:04:52.092 +0000
0.329620,-0.976379,0.207779,1.051256,36292.082403,2001-01-01 10:04:52.082 +0000
0.343536,-0.960938,0.349701,1.078753,36292.072607,2001-01-01 10:04:52.073 +0000
0.373062,-0.939407,0.522522,1.137845,36292.062811,2001-01-01 10:04:52.063 +0000
0.426666,-0.928619,0.709824,1.244278,36292.052984,2001-01-01 10:04:52.053 +0000
0.465622,-0.920105,0.912048,1.376673,36292.043188,2001-01-01 10:04:52.043 +0000
0.516296,-0.914474,1.030075,1.471013,36292.033392,2001-01-01 10:04:52.033 +0000
0.578934,-0.901657,1.068527,1.513242,36292.023596,2001-01-01 10:04:52.024 +0000
0.628647,-0.894012,1.017960,1.493552,36292.013769,2001-01-01 10:04:52.014 +0000
0.651581,-0.883118,0.883072,1.408641,36292.003973,2001-01-01 10:04:52.004 +0000
0.656189,-0.875229,0.732147,1.316301,36291.994177,2001-01-01 10:04:51.994 +0000
0.650726,-0.850677,0.626373,1.240742,36291.984350,2001-01-01 10:04:51.984 +0000
0.627457,-0.806854,0.652649,1.212710,36291.974554,2001-01-01 10:04:51.975 +0000
0.614014,-0.766418,0.830505,1.286137,36291.964758,2001-01-01 10:04:51.965 +0000
0.607025,-0.737244,1.014587,1.393340,36291.954962,2001-01-01 10:04:51.955 +0000
0.603195,-0.728516,1.154633,1.492567,36291.945135,2001-01-01 10:04:51.945 +0000
