x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.049973,-0.965332,-0.426361,1.056479,36429.649852,2001-01-01 10:07:09.650 +0000
0.054108,-0.945419,-0.572083,1.106356,36429.640056,2001-01-01 10:07:09.640 +0000
0.098465,-0.953827,-0.478790,1.071784,36429.630260,2001-01-01 10:07:09.630 +0000
0.066513,-0.971603,-0.209564,0.996170,36429.620433,2001-01-01 10:07:09.620 +0000
-0.071121,-0.972229,-0.036942,0.975527,36429.610637,2001-01-01 10:07:09.611 +0000
-0.186432,-0.973297,0.032745,0.991532,36429.600841,2001-01-01 10:07:09.601 +0000
-0.197998,-0.966690,0.046097,0.987835,36429.591045,2001-01-01 10:07:09.591 +0000
-0.157013,-0.959564,-0.026413,0.972684,36429.581249,2001-01-01 10:07:09.581 +0000
-0.045425,-0.964844,-0.183060,0.983106,36429.571452,2001-01-01 10:07:09.571 +0000
0.085815,-0.976334,-0.391174,1.055277,36429.561626,2001-01-01 10:07:09.562 +0000
0.192062,-0.953720,-0.565582,1.125324,36429.551830,2001-01-01 10:07:09.552 +0000
0.246414,-0.955750,-0.520981,1.116064,36429.542051,2001-01-01 10:07:09.542 +0000
0.238403,-0.964203,-0.278397,1.031517,36429.532255,2001-01-01 10:07:09.532 +0000
0.150894,-0.976990,0.008789,0.988613,36429.522459,2001-01-01 10:07:09.522 +0000
0.003906,-0.992264,0.236740,1.020122,36429.512633,2001-01-01 10:07:09.513 +0000
-0.159119,-0.983521,0.436096,1.087571,36429.502836,2001-01-01 10:07:09.503 +0000
-0.226151,-0.976089,0.472626,1.107822,36429.493040,2001-01-01 10:07:09.493 +0000
-0.210220,-0.949295,0.283447,1.012767,36429.483244,2001-01-01 10:07:09.483 +0000
-0.144440,-0.896225,-0.158340,0.921495,36429.473448,2001-01-01 10:07:09.473 +0000
-0.033173,-0.846863,-0.499207,0.983608,36429.463621,2001-01-01 10:07:09.464 +0000
0.103378,-0.800812,-0.534546,0.968362,36429.453825,2001-01-01 10:07:09.454 +0000
0.216934,-0.788513,-0.191345,0.839897,36429.444029,2001-01-01 10:07:09.444 +0000
0.232956,-0.816406,0.393814,0.935883,36429.434233,2001-01-01 10:07:09.434 +0000
0.134949,-0.868195,1.071960,1.386027,36429.424437,2001-01-01 10:07:09.424 +0000
-0.036499,-0.961411,1.644928,1.905631,36429.414641,2001-01-01 10:07:09.415 +0000
-0.171021,-1.026321,2.078110,2.324032,36429.404814,2001-01-01 10:07:09.405 +0000
-0.195465,-1.027039,2.237732,2.469911,36429.395018,2001-01-01 10:07:09.395 +0000
-0.133102,-1.000198,2.071793,2.304439,36429.385222,2001-01-01 10:07:09.385 +0000
-0.020172,-0.914810,1.656555,1.892474,36429.375426,2001-01-01 10:07:09.375 +0000
0.118317,-0.836014,1.237610,1.498198,36429.365629,2001-01-01 10:07:09.366 +0000
0.261948,-0.781876,1.083267,1.361401,36429.355803,2001-01-01 10:07:09.356 +0000
0.295227,-0.773788,1.383636,1.612562,36429.346007,2001-01-01 10:07:09.346 +0000
0.131027,-0.769348,1.939697,2.090811,36429.336210,2001-01-01 10:07:09.336 +0000
-0.109741,-0.802078,2.514740,2.641835,36429.326414,2001-01-01 10:07:09.326 +0000
-0.259674,-0.711761,2.806366,2.906841,36429.316618,2001-01-01 10:07:09.317 +0000
